JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459125.35235,12.617,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.839,Z,,11.219,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.352859,12.610,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.848,Z,,11.206,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.35338,12.597,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.856,Z,,11.208,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.353889,12.606,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.865,Z,,11.211,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.35441,12.603,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.873,Z,,11.216,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.354931,12.621,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.882,Z,,11.215,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.355451,12.601,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.891,Z,,11.217,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.355972,12.597,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.900,Z,,11.202,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.356493,12.596,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.909,Z,,11.206,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.357014,12.604,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.918,Z,,11.205,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.357535,12.603,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.928,Z,,11.217,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.358056,12.596,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.937,Z,,11.209,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.358576,12.595,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.947,Z,,11.206,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.359097,12.595,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.957,Z,,11.209,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.359618,12.579,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.966,Z,,11.197,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.360139,12.594,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.976,Z,,11.198,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.36066,12.588,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.986,Z,,11.197,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.361181,12.605,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,1.996,Z,,11.210,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.361713,12.603,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.006,Z,,11.222,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.362222,12.600,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.017,Z,,11.203,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.362743,12.593,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.028,Z,,11.211,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.363275,12.595,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.039,Z,,11.206,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.363808,12.587,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.049,Z,,11.219,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.364329,12.588,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.060,Z,,11.185,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.364838,12.588,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.071,Z,,11.206,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.36537,12.588,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.082,Z,,11.212,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.365891,12.584,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.093,Z,,11.202,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.366412,12.596,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.105,Z,,11.204,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
